Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,OTI-DC01-OBM1,Ethernet1,server,DC01-0601-ESX01,idrac,True
leaf,OTI-DC01-OBM1,Ethernet3,server,DC01-0601-ESX03,idrac,True
leaf,OTI-DC01-OBM1,Ethernet4,server,DC01-0601-ESX04,idrac,True
leaf,OTI-DC01-OBM1,Ethernet5,server,DC01-0601-ESX05,idrac,True
leaf,OTI-DC01-OBM1,Ethernet6,server,DC01-0601-ESX06,idrac,True
leaf,OTI-DC01-OBM1,Ethernet7,server,DC01-0601-SRVA,iLo,True
leaf,OTI-DC01-OBM1,Ethernet8,server,DC01-0601-SRVB,iLo,True
leaf,OTI-DC01-OBM1,Ethernet9,server,DC01-0601-SRVC,iLo,True
leaf,OTI-DC01-OBM1,Ethernet10,server,DC01-0601-SRVD,iLo,True
